H-ID,claim,affected workload(s),suspected mechanism,cost-model factors,current evidence level,discriminating experiment,alternative explanations,status,artifact links
H-001,Splash telemetry labels splash hide timing as time-to-interactive,W-001,app reports elapsed performance clock after hide rather than first successful input,critical-path semantics; measurement validity,E2,mark first input/visible-correct milestone and compare with current event,hide may be near readiness; analytics only; no user cost yet,OPEN,src/features/app/RootLayout.tsx
H-002,Dashboard replay emission persists JSON snapshots on every source emission,W-003 W-001 W-012,combineLatest tap serializes dashboard data to synchronous MMKV per emission,emission frequency; data cardinality; serialization cost; JS critical path,E2,measure emissions and JSON/MMKV duration while holding dataset constant; suppress tap isolation,async persistence may be off interaction path; data may be small; cache can be intentional,OPEN,src/services/ReactiveDataService.ts; src/utils/SnapshotService.ts
H-003,Reactive prewarm duplicates dashboard/account work before/around first interaction,W-001 W-003,Promise.allSettled subscribes to two shared streams during bootstrap and may overlap mount/hydration,frequency; fan-out; startup contention,E2,trace prewarm, first emissions, route mount, JS/UI frames; disable prewarm isolation,streams may share cache and complete before UI; native DB async may not contend,OPEN,src/services/ReactiveDataService.ts; src/features/app
H-004,Logger serializes and buffers performance context on hot paths,W-001-W-012,JSON.stringify/context and console buffering run for every log/metric,frequency; payload size; instrumentation overhead,E2,release-like build with telemetry/log paths off/on and trace markers,production metric logs may be disabled; logging may be rare,OPEN,src/utils/logger.ts
H-005,Trace timing uses wall-clock Date.now for causal segments,W-001-W-012,clock resolution/adjustment makes subsegments and cross-layer timing unreliable,measurement integrity; cannot prove runtime cost,E2,replace only in audit instrumentation or compare monotonic marks,does not itself cause user cost; metrics could be coarse but usable,OPEN,src/utils/TraceService.ts
H-006,Dashboard/account observers materialize and transform broad datasets,W-003 W-004 W-005,shared observable maps model collections to plain arrays/balance maps per emission,cardinality; fan-out; materialization; render subscribers,E1,profile emissions/rows/transform/commit at justified typical/large seeds; narrow observer isolation,SQL/query may dominate; compiler may make renders cheap,OPEN,src/services/ReactiveDataService.ts; src/services/reactive/**
H-007,Import/export JSON serialization creates a peak proportional to full payload,W-009,canonicalization/stringify/zip/backup duplicates large data in JS/native memory,cardinality; copies; peak memory,E2,synthetic fixture size sweep with process/native/JS memory and duration,streaming/native exporter may bound some paths; fixture realism unknown,OPEN,src/services/import/**; src/services/export/**
H-008,Foreground maintenance competes with resume and first interaction,W-002 W-012,integrity/rebuild/widget/analytics tasks run after AppState active,concurrency; critical-path overlap; wakeups,E1,trace resume plus first tap with tasks individually disabled,work may be deferred/cancelled and not overlap; no runtime evidence yet,OPEN,src/features/app/hooks/useAppForegroundMaintenance.ts
H-009,SMS/AI native workloads cannot be assigned latency/memory findings from JS source,W-010 W-011,native execution/thread/memory/thermal behavior outside local static evidence,call frequency; payload; native allocation; device class,E2,physical Android/iOS profile with synthetic inputs and native traces,JS boundary may still be material; platform support differs,OPEN,modules/expo-sms-inbox; src/services/ai/**
H-010,Bulk journal entry mounts an uncapped row tree in ScrollView,W-006,user-controlled row count maps every controlled row and each edit copies/scans the full rows array,row count; field count; edit frequency; layout/memory,E2,release Android/iOS at 10/50/100/250 rows with commit/frame/input/memory traces,small forms may remain bounded in practice; no cap/measurement yet,OPEN,src/features/journal/entry/components/BulkEntryGrid.tsx; src/features/journal/entry/hooks/useBulkJournalEditor.ts
H-011,Bar chart scroll state re-renders the full SVG at 16 ms cadence,W-007,onScroll setState drives tooltip geometry and maps all points/series,scroll rate; point count; series count; SVG nodes; JS/UI contention,E2,release Hermes fling at 30/90/180 points and 1/2 series with JS/UI traces,chart may remain below frame budget; no trace yet,OPEN,src/components/charts/BarChart.tsx
H-012,Account-tree drag sends every gesture update through JS,W-004,runOnJS calls updateDrag which computes hover/auto-scroll and state,gesture rate; row count; edge-scroll duration; hover changes,E2,release Hermes drag at 20/100/300 rows with and without edge-scroll,Reanimated transform may hide cost; static path remains JS-bound,OPEN,src/features/accounts/components/hierarchy/AccountManagementTreeRow.tsx; src/features/accounts/components/hierarchy/useAccountTreeDragController.ts
H-013,Safe-to-Spend projection retains one account map per simulation day,W-003,simulator clones roundedAccountBalances for each day and budget/recurrence generators scale with horizon,days; accounts; budgets; scopes; cycles; emissions,E2,synthetic D=30/90/180 and account/budget cardinality sweep with heap and duration,downstream may discard data; runtime peak unknown,OPEN,src/services/simulation/Simulator.ts; src/services/simulation/engines/BudgetFlowGenerator.ts
H-014,Startup stabilization starts unrelated work concurrently after delay,W-001 W-002 W-012,integrity/insights/planned payments/sharing/exchange rates/notifications/SMS run in Promise.allSettled after interactions,concurrency; wakeups; overlap; device CPU,E2,release resume/first-tap traces with each task suppressed one at a time,three-second delay and generation cancellation may avoid visible contention,OPEN,src/features/app/hooks/useAppBootstrap.ts
H-015,Export retains full tables plus JSON ZIP and Base64 representations,W-009,parallel table fetch then transform/stringify/compress/base64,rows; bytes; copies; peak memory; compression,E2,synthetic export row sweep with JS/native RSS and per-stage bytes,raw SQL reduces model cost but not aggregate copies; device memory unknown,OPEN,src/services/export/nativeBackupExporter.ts; src/services/export/exportSerialization.ts
H-016,Native AI catalog permits very large models and up to three inference passes,W-011,model load native allocation and multi-pass generation,model bytes; RAM; prompt/output; pass count; thermal/device,E2,physical device model load/inference/unload and single vs multi-pass traces,model may be opt-in and not startup; user prevalence unknown,OPEN,src/services/ai/ModelManagementService.ts; src/services/transaction-ingestion/NativeAIProvider.ts
H-017,Reports concurrently load aggregates plus full transaction range and convert rows,W-007,three concurrent DB reads then per-row async currency conversion,range; transactions; currencies; chart cardinality,E2,synthetic range sweep with query rows/duration/compute/commit traces,raw aggregate path may dominate; fallback conditional,OPEN,src/services/reports/reportingPeriodLoader.ts; src/services/reports/reportingDeltaEngine.ts
H-018,SMS scan returns full message bodies and analyzes candidates concurrently,W-010,native full-body query, all-message parse, duplicate queries, concurrent rules,N messages; body bytes; rules; candidates; writes,E2,Android synthetic inbox scan sweep with native/query/parse/heap traces,scan single-flight and limits bound overlap; OEM/runtime unknown,OPEN,src/services/sms/pipeline/smsSyncPipeline.ts; modules/expo-sms-inbox/android
