ID and name,user goal,entry trigger and stop condition,frequency/importance,platforms,device classes,build modes,dataset/cache state,screen/component path,state/reactive path,database/network/filesystem/native path,expected visible result,instrumentation points,status and evidence
W-001 Cold startup to first interactive dashboard,Open app and see usable balance,process launch to first successful interaction after correct content is visible,critical/high,Android+iOS,lower-tier + reference,discovery + release-like,cold process; first-run and warm-cache variants,RootLayout -> RootIndex -> dashboard,AppReady + Workplace + snapshot + hydration,MMKV snapshot; Watermelon prewarm; widgets/maintenance,interactive dashboard with correct freshness,boot anchor; native startup; app-ready; data-hydrated; first interaction,STATICALLY_TRACED
W-002 Warm resume/foreground stabilization,Return to app without stale state,foreground/resume to stable visible data,high,Android+iOS,reference + lower-tier,release-like,warm process; cached and stale cache,RootLayout foreground hooks -> dashboard,AppState + cache invalidation + maintenance,integrity/rebuild/notifications/widgets/reactive streams,correct current data without interaction stall,AppState; queue; query; emission; commit,DISCOVERED
W-003 Dashboard refresh and Safe-to-Spend,Understand current financial position,screen mount/refresh to cards/charts stable,critical/high,Android+iOS,reference + lower-tier,discovery + release-like,typical/large synthetic; warm/cold observer,DashboardScreen and SafeToSpend,combined account/journal/planned/budget observables,SQL aggregate + recurrence/simulation + snapshot/widget consumers,correct dashboard and explanation UI,query; first emission; transform; render/commit; chart,STATICALLY_TRACED
W-004 Accounts list/detail/hierarchy,Inspect balances and accounts,route open/scroll/detail to usable content,high,Android+iOS,lower-tier + reference,discovery + release-like,empty/typical/large account tree,AccountsList/Details/Management,aggregated balances + hierarchy observers,raw SQL/Watermelon materialization; rebuild after archive/reorder,scrollable list/detail with correct totals,query; rows; scroll frames; render; mutation fan-out,DISCOVERED
W-005 Activity/search/detail scrolling,Find and inspect journals,route/search/scroll to selected detail,critical/high,Android+iOS,lower-tier + reference,discovery + release-like,typical/large journals; paginated and filtered,JournalList/Details/Search,observed paginated enrichment + grouping,SQL + enrichment + exchange rates + list rendering,usable scroll and accurate detail,query; rows; enrichment; list frames; commit,DISCOVERED
W-006 Journal entry save/edit/bulk,Record a transaction,form action to saved and visible updated balances,critical/high,Android+iOS,lower-tier + reference,release-like,small/large split and bulk inputs,entry modes and post-save routes,editor state + mutation + invalidation,DB batch/write + rebuild queue + observers,save completes with correct ledger and UI,handler; write; rebuild; emissions; visible result,DISCOVERED
W-007 Reports filters and charts,Analyze history,report open/filter to chart usable,medium/high,Android+iOS,reference + lower-tier,discovery + release-like,typical/large range/category cardinality,ReportsScreen,period query + delta/history/heatmap/Sankey transforms,SQL; conversion; SVG/chart layout,correct report with responsive filtering,query; compute; SVG nodes; frame/commit,DISCOVERED
W-008 Commitments/budget/planned payments,Review obligations and budgets,open/filter/post due items to stable view,high,Android+iOS,reference + lower-tier,release-like,typical/large recurrence density and budget scopes,Commitments/Budget/PlannedPayment,observed projections + recurrence,DB queries/writes + projection invalidation,correct commitments and budget state,query; recurrence; write; emissions; commit,DISCOVERED
W-009 Import/export/backup/restore,Move or protect data,file selection to completion/restart-ready state,low/critical when used,Android+iOS+web,reference + lower-tier,release-like,fixture sizes and relationship shapes,Data management/import routes,staging + canonicalization + rebuild,filesystem/zip/JSON + batch DB + memory peaks,completion without UI freeze or corruption,files; parse; serialize; batch; memory; queue,DISCOVERED
W-010 Android SMS ingest/rules,Convert SMS to transactions,scan/sync to inbox/auto-post completion,platform-specific,Android,physical lower-tier + reference,release-like,inbox/rule/duplicate/batch-size fixtures,SMS inbox/rules and ledger,scan events + rule matching + dedupe,native SMS module + parsing + DB writes + notifications,accurate inbox/auto-post without blocking foreground, native call; event rate; batch; write; frame,DISCOVERED
W-011 AI parsing/benchmark/voice,Parse transaction input,model load/inference/cancel/unload or voice action to result,low/experimental but high resource risk,Android+iOS where supported,physical devices required,discovery + release-like,synthetic prompts/voice; model variants,AI example/journal voice entry,model/provider state + cancellation,native LiteRT/speech + memory/thermal + serialization,correct parse and responsive cancellation,native duration; memory; thermal; JS result; lifecycle,DISCOVERED
W-012 Lifecycle/workplace switching,Switch data scope safely,workplace switch/lock/modal/route loop and cleanup,high correctness + lifecycle,Android+iOS,reference + lower-tier,release-like,repeated cycles and multiple workplace keys,WorkplaceProvider/app lock/routes,cache namespaces + subscriptions + queue recovery,MMKV + DB + observers + background tasks,correct scope with stable memory and no duplicate work,subscriptions; cache keys; memory; CPU; emissions,DISCOVERED
